iter	Passed	Remaining
414	3235	4560
415	3240	4549
416	3245	4537
417	3253	4529
418	3260	4520
419	3269	4515
420	3276	4506
421	3284	4498
422	3291	4489
423	3296	4478
424	3301	4466
425	3307	4456
426	3313	4446
427	3322	4440
428	3332	4435
429	3341	4428
430	3351	4425
431	3357	4414
432	3364	4406
433	3370	4395
434	3376	4385
435	3381	4374
436	3388	4364
437	3393	4354
438	3399	4344
439	3408	4338
440	3414	4328
441	3420	4318
442	3429	4311
443	3436	4303
444	3444	4296
445	3451	4287
446	3459	4279
447	3467	4271
448	3472	4261
449	3479	4252
450	3487	4245
451	3497	4240
452	3506	4233
453	3514	4226
454	3521	4217
455	3529	4210
456	3537	4202
457	3544	4194
458	3554	4189
459	3559	4178
460	3564	4167
461	3572	4159
462	3577	4148
463	3584	4141
464	3590	4131
465	3598	4123
466	3604	4113
467	3609	4102
468	3615	4093
469	3622	4085
470	3628	4075
471	3638	4069
472	3646	4063
473	3653	4053
474	3659	4044
475	3666	4036
476	3675	4030
477	3681	4020
478	3686	4009
479	3692	4000
480	3697	3989
481	3704	3981
482	3709	3970
483	3713	3958
484	3718	3948
485	3725	3939
486	3729	3929
487	3735	3918
488	3739	3907
489	3745	3898
490	3750	3888
491	3754	3876
492	3759	3866
493	3766	3857
494	3773	3849
495	3781	3842
496	3788	3834
497	3795	3825
498	3802	3817
499	3810	3810
500	3816	3801
501	3822	3791
502	3829	3783
503	3837	3776
504	3844	3768
505	3852	3761
506	3859	3752
507	3864	3742
508	3869	3732
509	3873	3722
510	3880	3713
511	3887	3704
512	3893	3695
513	3897	3685
514	3902	3675
515	3907	3665
516	3915	3657
517	3924	3651
518	3932	3644
519	3937	3634
520	3946	3628
521	3954	3621
522	3963	3614
523	3971	3607
524	3982	3602
525	3989	3595
526	3997	3588
527	4005	3580
528	4012	3572
529	4020	3564
530	4027	3557
531	4033	3548
532	4041	3540
533	4048	3533
534	4055	3525
535	4063	3517
536	4072	3510
537	4082	3506
538	4094	3501
539	4102	3494
540	4108	3485
541	4113	3475
542	4119	3467
543	4126	3459
544	4132	3449
545	4136	3439
546	4143	3431
547	4151	3424
548	4158	3416
549	4165	3408
550	4173	3400
551	4181	3393
552	4188	3385
553	4194	3376
554	4199	3367
555	4203	3356
556	4212	3350
557	4216	3339
558	4220	3329
559	4229	3323
560	4236	3315
561	4249	3311
562	4260	3306
563	4266	3297
564	4271	3288
565	4277	3279
566	4283	3271
567	4292	3264
568	4301	3258
569	4307	3249
570	4313	3240
571	4321	3233
572	4329	3226
573	4335	3217
574	4343	3210
575	4351	3203
576	4359	3195
577	4364	3186
578	4368	3176
579	4374	3168
580	4381	3159
581	4391	3154
582	4399	3147
583	4407	3139
584	4413	3130
585	4421	3123
586	4427	3115
587	4431	3105
588	4439	3097
589	4446	3089
590	4456	3084
591	4465	3077
592	4474	3070
593	4479	3061
594	4487	3054
595	4497	3048
596	4506	3042
597	4513	3034
598	4518	3024
599	4523	3015
600	4528	3006
601	4532	2996
602	4540	2989
603	4546	2980
604	4552	2972
605	4557	2963
606	4565	2955
607	4576	2950
608	4585	2944
609	4593	2937
610	4599	2928
611	4606	2920
612	4611	2911
613	4618	2903
614	4626	2896
615	4634	2889
616	4641	2881
617	4647	2872
618	4652	2863
619	4659	2856
620	4665	2847
621	4670	2838
622	4675	2829
623	4682	2821
624	4690	2814
625	4699	2807
626	4708	2801
627	4715	2793
628	4724	2786
629	4730	2778
630	4735	2769
631	4741	2760
632	4746	2751
633	4753	2744
634	4758	2735
635	4765	2727
636	4771	2719
