lat,lon,area_code,type_of_area,type_of_area_pred_rf,type_of_area_pred_cboost,type_of_area_pred_lgbm,type_of_area_pred_voting
34.70527777777778,135.2336111111111,jp28102040,unknown,urban,urban,urban,urban
50.428995,4.458681,BETR502,unknown,urban,urban,urban,urban
38.6016,105.9512,1484A,unknown,rural,rural,rural,rural
49.0311,-118.4392,openaq_1179,unknown,suburban,suburban,urban,urban
51.520787459334,0.205460705694044,openaq_225763,unknown,urban,urban,urban,urban
23.168606,79.932247,openaq_10911,unknown,urban,urban,urban,urban
50.9172284414243,3.30738579933576,BELOB01,unknown,suburban,suburban,suburban,suburban
0.300225,32.591553,openaq_8645,unknown,urban,urban,urban,urban
18.286776118257,99.506314173843,openaq_840,unknown,urban,urban,urban,urban
37.359642,-118.394873,openaq_5826,unknown,suburban,suburban,suburban,suburban
29.719,120.251,2016A,unknown,urban,urban,urban,urban
31.65647,35.11681,openaq_11547,unknown,suburban,suburban,suburban,suburban
34.4483,-119.2303,openaq_2163,unknown,suburban,suburban,suburban,suburban
49.031168,-118.439088,104101,unknown,suburban,suburban,urban,urban
31.743333333333,-106.43166666667,openaq_8481,unknown,urban,urban,urban,urban
24.632203,121.792928,openaq_3909,unknown,urban,urban,urban,urban
32.05602,34.77903,openaq_6524,unknown,urban,urban,urban,urban
47.340253323593,5.05833251650146,openaq_3697,unknown,urban,urban,urban,urban
48.92696,-55.65966,010501,unknown,rural,rural,suburban,rural
23.3692,113.3472,openaq_43576,unknown,urban,urban,urban,urban
43.42666666666666,141.875,jp01424010,unknown,rural,rural,rural,rural
37.0877,79.924,openaq_10091,unknown,urban,urban,urban,urban
49.21494,-122.582057,101501,unknown,suburban,suburban,suburban,suburban
34.60027777777778,133.7777777777778,jp33202110,unknown,urban,urban,urban,urban
29.5346,106.4958,openaq_7359,unknown,urban,urban,urban,urban
40.814701,-73.886703,openaq_665,unknown,urban,urban,urban,urban
42.59944444444445,140.78527777777776,jp01572050,unknown,rural,rural,rural,rural
45.2708549494632,27.88944244,openaq_9388,unknown,rural,suburban,rural,rural
39.953352,116.466258,openaq_8833,unknown,urban,urban,urban,urban
33.293917,126.163111,KR0101R,unknown,suburban,rural,urban,rural
33.792221,-118.175278,openaq_847,unknown,suburban,urban,suburban,suburban
37.784278,-119.073343,openaq_6004,unknown,rural,rural,rural,rural
34.825,135.2227777777778,jp28109030,unknown,urban,urban,urban,urban
47.41645,-117.52997,53-063-0001,unknown,rural,rural,rural,rural
37.374,120.399,1975A,unknown,urban,urban,urban,urban
-26.234889,27.698639,openaq_235950,unknown,urban,suburban,urban,urban
35.77833333333333,140.3213888888889,jp12211510,unknown,urban,urban,urban,urban
31.37611111111111,130.85194444444443,jp46203010,unknown,urban,urban,urban,urban
31.2326,118.2746,openaq_43502,unknown,urban,urban,urban,urban
29.0436,-95.4736,openaq_1294,unknown,suburban,suburban,suburban,suburban
30.5767,104.0594,openaq_9803,unknown,urban,urban,urban,urban
-26.493348,29.968054,openaq_225440,unknown,urban,urban,urban,urban
-1.955597,30.0577381,openaq_42400,unknown,urban,urban,urban,urban
36.5672,-118.777199,openaq_989,unknown,rural,rural,rural,rural
5.763873,101.067903,openaq_225657,unknown,suburban,suburban,suburban,suburban
34.49388888888889,133.4608333333333,jp33205020,unknown,suburban,suburban,urban,urban
35.31916666666667,139.54666666666665,jp14204010,unknown,urban,urban,urban,urban
46.6822,-71.9678,openaq_487,unknown,rural,rural,rural,rural
23.076793,72.627874,openaq_228297,unknown,urban,suburban,suburban,urban
10.073232,76.302765,openaq_6966,unknown,urban,urban,urban,urban
34.62722222222222,135.57805555555555,jp27212520,unknown,urban,urban,urban,urban
33.55722222222222,130.38083333333333,jp40135020,unknown,urban,urban,urban,urban
-26.741956,29.608826,openaq_230805,unknown,suburban,suburban,suburban,suburban
38.483101,-77.3703,openaq_1466,unknown,suburban,suburban,suburban,suburban
36.5089258171877,-4.86463053355266,openaq_6117,unknown,urban,urban,urban,urban
47.098991,-55.198521,010901,unknown,suburban,suburban,urban,suburban
16.418417,101.156556,openaq_270250,unknown,urban,urban,urban,urban
28.7989,104.6789,1887A,unknown,urban,urban,urban,urban
47.7161111105768,13.6322222222222,AT4S125,unknown,suburban,suburban,suburban,suburban
31.7964,117.3027,openaq_6176,unknown,urban,urban,urban,urban
31.4535,104.7563,openaq_7348,unknown,urban,urban,urban,urban
55.6532082,37.7460631,openaq_5141,unknown,urban,urban,urban,urban
38.642341,-77.52804300000001,51-153-0008,unknown,rural,rural,rural,rural
59.958312,11.042884,openaq_220374,unknown,suburban,suburban,suburban,suburban
-36.923329602986,-73.036132300941,openaq_65,unknown,urban,urban,urban,urban
43.3060996358468,5.39579363613379,openaq_4110,unknown,urban,urban,urban,urban
27.9831,116.3544,openaq_10366,unknown,urban,urban,urban,urban
36.5593,114.7895,openaq_43654,unknown,urban,urban,urban,urban
41.0825,14.3375,openaq_8412,unknown,urban,urban,urban,urban
35.01277777777778,136.96444444444444,jp23223010,unknown,urban,urban,urban,urban
18.840633,98.969661,openaq_225669,unknown,suburban,urban,urban,urban
43.8245,126.5052,openaq_9192,unknown,urban,urban,urban,urban
50.144285,-122.960402,105001,unknown,suburban,suburban,suburban,suburban
59.362291,17.992711,openaq_10922,unknown,urban,urban,urban,urban
