iter	MultiClass
299	0.4552164946
300	0.4549342458
301	0.4545099321
302	0.4539952196
303	0.4534879737
304	0.4530825338
305	0.4528226334
306	0.4524060574
307	0.4520055124
308	0.4517214742
309	0.4515361051
310	0.4512316723
311	0.4508297301
312	0.4504558518
313	0.4502001195
314	0.4499244634
315	0.4496084379
316	0.4492731297
317	0.4489656424
318	0.4485047567
319	0.4480910653
320	0.4477464466
321	0.447402677
322	0.4471279837
323	0.4467807413
324	0.4464894241
325	0.4460194956
326	0.4457239011
327	0.4454502672
328	0.4451941337
329	0.4447993177
330	0.4443847428
331	0.4440182719
332	0.4437079912
333	0.4434747591
334	0.4430416559
335	0.4426413298
336	0.4423883412
337	0.4419945536
338	0.4417414491
339	0.4415152863
340	0.4412104471
341	0.4407207231
342	0.4402879708
343	0.4399623517
344	0.439734361
345	0.4392693298
346	0.439041199
347	0.4388086039
348	0.4383438215
349	0.4379335857
350	0.4375164208
351	0.4373898918
352	0.4372632046
353	0.4370046566
354	0.4366420963
355	0.4363612992
356	0.4361271532
357	0.435889049
358	0.4354852672
359	0.4350421304
360	0.4346807041
361	0.4341952013
362	0.4337855177
363	0.4333534619
364	0.4331366862
365	0.4327271245
366	0.4323768707
367	0.4319899462
368	0.4317492728
369	0.4314432607
370	0.4311951101
371	0.4307858941
372	0.4303718195
373	0.4299080206
374	0.4294747693
375	0.4290987331
376	0.4288569083
377	0.428531703
378	0.4280265769
379	0.4277716503
380	0.4274055894
381	0.4271603419
382	0.4268745352
383	0.4265289257
384	0.4262948088
385	0.4260438888
386	0.4257688309
387	0.4255125757
388	0.4250296422
389	0.4247002651
390	0.4242010913
391	0.4238913782
392	0.4236809035
393	0.4233705304
394	0.4230551238
395	0.422731769
396	0.4224952684
397	0.4221204642
398	0.4216730587
399	0.4213683895
400	0.4208570197
401	0.4205180961
402	0.420230172
403	0.4200679783
404	0.4197492553
405	0.4193736044
406	0.419012825
407	0.4188337713
408	0.4184373584
409	0.4180395993
410	0.417824801
411	0.4176148861
412	0.4173162637
413	0.4171299207
414	0.4168183603
415	0.4164612261
416	0.416198173
417	0.4159141467
418	0.4155932951
419	0.4154521214
420	0.4152488837
421	0.4148701379
422	0.4146867796
423	0.4145070632
424	0.4143089663
425	0.4139778341
426	0.4137631795
427	0.4134849846
428	0.4131146624
429	0.4128492091
430	0.4126259514
431	0.4122691571
432	0.4120362372
433	0.4117124998
434	0.4114183564
435	0.4111612733
436	0.410942277
437	0.4106531026
438	0.410341226
439	0.4099840849
440	0.409717512
441	0.4094962531
442	0.4091273944
443	0.4089263471
444	0.4085646673
445	0.4083081593
446	0.408038579
447	0.4077383204
448	0.4075574926
449	0.4070810675
450	0.4068871644
451	0.4064646911
452	0.4062743114
453	0.4059678126
454	0.405609922
455	0.4054681615
456	0.4050979773
457	0.4046421074
458	0.404370756
459	0.4042500672
460	0.4039309579
461	0.4037613139
462	0.4034848451
463	0.4031065859
464	0.4029214094
465	0.4025638447
466	0.4020613149
467	0.4017643347
468	0.4015155697
469	0.4011578692
470	0.4008202391
471	0.4006202798
472	0.4002113953
473	0.3999610679
474	0.399676024
475	0.3995616774
476	0.3993034305
477	0.3989710884
478	0.3984373657
479	0.3982180608
480	0.3979440261
481	0.3975481534
482	0.397065833
483	0.3966059357
484	0.396327466
485	0.3959314858
486	0.3955873949
487	0.3952796793
488	0.3950145222
489	0.3947296398
490	0.3944135583
491	0.394046619
492	0.3937377258
493	0.3932988702
494	0.392893181
495	0.3925604768
496	0.3923528842
497	0.3920349848
498	0.3917466342
499	0.3914436895
